xo28122000,"San Francisco, CA","{""C"":0.6649904833090302,""CSS"":2.4382984387997775,""Java"":0.8127661462665924,""JavaScript"":66.38513866941757,""Jupyter Notebook"":12.549968394341967,""MATLAB"":0.54861714872995,""Python"":8.923425140914203,""Swift"":3.4873555333740627,""TypeScript"":4.189440044846891}"
fmoctezuma,"San Antonio, Texas","{""C++"":1.7153115334423195,""CSS"":1.9357747712828683,""Dockerfile"":4.062159260047833,""Go"":24.309886091142147,""HCL"":8.716459291765617,""HTML"":14.398211205176079,""Java"":0.5069886305740846,""JavaScript"":1.774460207009296,""Jupyter Notebook"":0.5459877560028603,""Lua"":21.293522484111552,""Nginx"":0.3609071607476534,""Python"":8.856281675035795,""Roff"":0.42587044968223103,""Shell"":11.098179483979704}"
cabrerafrancisco,San miguel de Tucuman,"{""C#"":5.188848509637544,""CSS"":7.32175719245784,""HTML"":36.20777122739568,""Handlebars"":2.8826936164653016,""JavaScript"":47.401073971421035,""PHP"":0.9978554826226047}"
StuartGrossman,San Francisco,"{""C++"":6.9399503062170895,""CSS"":45.91216613355052,""Go"":1.7123510775847228,""HTML"":3.5725970770512783,""JavaScript"":27.254265563540343,""Objective-C"":0.3139310308905325,""PostScript"":1.5696551544526625,""Python"":2.743504225269716,""Ruby"":9.696187585179008,""Swift"":0.28539184626412045}"
mfix22,"San Francisco, CA, USA","{""CSS"":0.9224713953865489,""Go"":1.5007500693359452,""HTML"":5.221861133074985,""JavaScript"":84.73756176684218,""PHP"":0.8196186819348852,""Ruby"":2.011791310203809,""Swift"":0.6705971034012697,""TypeScript"":4.115348539820423}"
dizthewize,"San Francisco, California","{""CSS"":7.859307459611374,""Dockerfile"":5.97137876780948,""Go"":2.1127236918048284,""HCL"":20.556298491810548,""JavaScript"":19.346169764400653,""PHP"":3.2893874746452854,""PowerShell"":1.3670565064619478,""Python"":2.323996060985311,""SCSS"":23.239960609853114,""Shell"":7.746653536617703,""Solidity"":1.2231558215712164,""TypeScript"":4.963911814428537}"
diandians,San Francisco,"{""HTML"":17.070857607370275,""Java"":5.690285869123425,""JavaScript"":45.23777265953123,""Python"":8.291559409294134,""Ruby"":23.70952445468094}"
fordchristopher,"San Francisco Bay Area, CA","{""C"":21.75617376219499,""Java"":30.126196539824402,""JavaScript"":20.243290273254193,""PHP"":27.874339424726415}"
DibeshMSShrestha,San Francisco,"{""Elixir"":32.224689320049755,""Go"":38.236012136571304,""HTML"":18.797735436695692,""Shell"":10.741563106683252}"
zsmoore,"San Franciso, California","{""C"":0.9309239794618537,""C++"":0.9608727695878455,""CSS"":0.30369990961512233,""Go"":0.6358716857566625,""HTML"":0.9351219488281807,""Haskell"":0.3281918378098903,""Java"":9.120027002968163,""JavaScript"":7.649612362877288,""Kotlin"":14.441400542093602,""Python"":31.868136281351372,""Rust"":10.1739469721066,""TypeScript"":22.652194707543412}"
yuinchien,San Francisco,"{""CSS"":20.408163265306126,""HTML"":30.612244897959183,""JavaScript"":48.9795918367347}"
gzfrancisco,"San Jose, California","{""C++"":5.12574110313527,""CSS"":2.1967461870579728,""Common Lisp"":3.075444661881162,""Elixir"":3.417160735423513,""HTML"":30.75444661881162,""Objective-C"":10.054338317688414,""R"":6.150889323762324,""Ruby"":23.848009742833902,""Rust"":15.37722330940581}"
masonoise,San Francisco,"{""Go"":69.17948015389273,""JavaScript"":2.4188629424438024,""Ruby"":20.540352340721103,""Shell"":7.861304562942356}"
karenhlai,San Francisco Bay Area,"{""CSS"":1.507193017538354,""HTML"":6.999193554365153,""JavaScript"":65.69612597301703,""Ruby"":25.79748745507947}"
TonyRuQusSCarbetta,"South San Francisco, CA","{""CSS"":33.1016657810874,""HTML"":2.795015644881701,""Hack"":6.366267507994537,""JavaScript"":47.934997213776384,""PHP"":9.124983428125505,""Python"":0.44415819823217706,""Shell"":0.2329122259022392}"
georgebutler,"San Francisco, California","{""Astro"":11.826196501897767,""C#"":1.5768262002530355,""C++"":16.971028908665488,""GDScript"":0.9097074232229054,""Go"":2.150217545799594,""Groff"":0.639253864967447,""HTML"":1.1263044287521684,""Java"":0.7167391819331981,""JavaScript"":11.689085971080242,""Lua"":8.959809097672334,""Python"":9.517272422955823,""TypeScript"":31.536524005060713,""Vue"":2.381034447739292}"
dylan-cm,"San Francisco, CA","{""CSS"":1.6828368571948484,""Dart"":8.939038085441666,""HTML"":7.199598747432819,""JavaScript"":25.758863324320846,""MDX"":4.4452294340996,""Python"":1.8521789308748335,""TypeScript"":50.12225462063542}"
lahosken,"San Francisco, USA","{""CSS"":5.5189879466258915,""Java"":16.32043578502228,""JavaScript"":16.556963839877675,""Objective-C"":11.037975893251783,""Python"":47.55527947342644,""Scala"":3.010357061795941}"
albertyee84,San Francisco,"{""CSS"":2.9368362937659773,""HTML"":7.381311304577416,""Java"":1.511606915908959,""JavaScript"":61.355653238319164,""Python"":1.117274676976187,""Ruby"":25.6973175704523}"
alfredosumosav,"San Francisco Bay Area, CA","{""HTML"":5.049796605414504,""JavaScript"":94.9502033945855}"
bLeveque42,"San Francisco, CA","{""PHP"":100}"
jennifertimbol,"San Francisco, California","{""CSS"":2.013354370147871,""HTML"":24.75135263506146,""JavaScript"":62.76881108527195,""Python"":10.466481909518713}"
mmdurnin,San Francisco,"{""HTML"":18.081934707469827,""JavaScript"":62.32930269277118,""Python"":2.0091038563855363,""Ruby"":17.579658743373443}"
jipham510,San Francisco,"{""HTML"":5.5189879466258915,""Java"":3.010357061795941,""JavaScript"":55.04533454384728,""Ruby"":3.3113927679755353,""TypeScript"":33.11392767975535}"
khailey-zz,San Francisco,"{""JavaScript"":32.036138619400425,""PLSQL"":7.347895352717483,""Perl"":4.5720237750242125,""R"":9.144047550048425,""Ruby"":1.3062925071497749,""Shell"":45.593602195659685}"
lrisberg,"San Francisco, CA","{""C#"":5.988656244040282,""CSS"":1.4772776313571854,""Elixir"":1.9962187480134275,""HTML"":5.163206829277328,""JavaScript"":64.86500519840413,""Python"":3.674857240661083,""Ruby"":4.857465620166007,""Shell"":11.977312488080564}"
parikhkc,San Francisco,"{""Java"":29.783424977621742,""JavaScript"":5.9078597086757885,""Ruby"":22.05856709408168,""Shell"":42.25014821962079}"
RyanKirkland86,San Francisco,"{""HTML"":63.91830536273506,""JavaScript"":36.081694637264924}"
